lat,lon,elevation_m,distance_km
36.155218,-116.774631,-75.3,0.0
36.155376,-116.774532,-75.4,0.02
36.155543,-116.774395,-75.5,0.042
36.155689,-116.774229,-75.5,0.064
36.156434,-116.773123,-75.6,0.193
36.156931,-116.772365,-75.7,0.281
36.157458,-116.771596,-75.8,0.372
36.157915,-116.770892,-75.8,0.453
36.1595,-116.768549,-75.9,0.727
36.160125,-116.767588,-76.0,0.838
36.160198,-116.767486,-76.1,0.85
36.160369,-116.767297,-76.1,0.876
36.160541,-116.767145,-76.2,0.899
36.160785,-116.766979,-76.3,0.93
36.160978,-116.766883,-76.4,0.953
36.16121,-116.766815,-76.5,0.98
36.161505,-116.766763,-76.5,1.013
36.163458,-116.766548,-76.6,1.231
36.163673,-116.76654,-76.7,1.255
36.163898,-116.766567,-76.8,1.28
36.16403,-116.766598,-76.8,1.295
36.164418,-116.766735,-76.9,1.34
36.164818,-116.766918,-77.0,1.387
36.166343,-116.767659,-77.1,1.569
36.167712,-116.768335,-77.1,1.733
36.168117,-116.7685,-77.2,1.781
36.168206,-116.768528,-77.3,1.791
36.168482,-116.768569,-77.4,1.822
36.168701,-116.768571,-77.5,1.846
36.168851,-116.768559,-77.5,1.863
36.169125,-116.768519,-77.6,1.893
36.169644,-116.768396,-77.7,1.952
36.169835,-116.768359,-77.8,1.974
36.170354,-116.76821,-77.9,2.033
36.170518,-116.768125,-77.9,2.053
36.170645,-116.768015,-78.0,2.07
36.170765,-116.767884,-78.1,2.088
36.170942,-116.76763,-78.2,2.118
36.172398,-116.764916,-78.3,2.41
36.17257,-116.764631,-78.3,2.442
36.172739,-116.764408,-78.4,2.47
36.172891,-116.76425,-78.5,2.492
36.17312,-116.764056,-78.6,2.523
36.173481,-116.763843,-78.7,2.567
36.173687,-116.76376,-78.8,2.591
36.173882,-116.763707,-78.8,2.613
36.174162,-116.763678,-78.9,2.645
36.174541,-116.763681,-79.0,2.687
36.175166,-116.763703,-79.1,2.756
36.175982,-116.763703,-79.2,2.847
36.176376,-116.763716,-79.2,2.891
36.17664,-116.763763,-79.3,2.92
36.176839,-116.76383,-79.4,2.943
36.177119,-116.763975,-79.3,2.977
36.177316,-116.764116,-79.3,3.002
36.177578,-116.764379,-79.2,3.04
36.177783,-116.764671,-79.2,3.075
36.177889,-116.764862,-79.1,3.095
36.178282,-116.765471,-79.0,3.165
36.178794,-116.766319,-79.0,3.261
36.179859,-116.768032,-78.9,3.455
36.180094,-116.768367,-78.8,3.494
36.180282,-116.768578,-78.8,3.523
36.180461,-116.768731,-78.7,3.547
36.180634,-116.768842,-78.7,3.568
36.180819,-116.76893,-78.6,3.59
36.181081,-116.769029,-78.5,3.621
36.181509,-116.769138,-78.5,3.67
36.182761,-116.76943,-78.4,3.811
36.183144,-116.769536,-78.4,3.855
36.184031,-116.769742,-78.3,3.955
36.184956,-116.769967,-78.2,4.06
36.185176,-116.769997,-78.2,4.085
36.185406,-116.770008,-78.1,4.11
36.18561,-116.76999,-78.0,4.133
36.185727,-116.76997,-78.0,4.146
36.186021,-116.769875,-77.9,4.18
36.186505,-116.769613,-77.9,4.239
36.186833,-116.769413,-77.8,4.279
36.187753,-116.76888,-77.8,4.392
36.187945,-116.76879,-77.8,4.415
36.188158,-116.768728,-77.8,4.439
36.188364,-116.768697,-77.8,4.462
