lat,lon,elevation_m,distance_km
36.155218,-116.774631,-75.3,0.0
36.155376,-116.774532,-75.4,0.021
36.155543,-116.774395,-75.5,0.044
36.155689,-116.774229,-75.5,0.067
36.156434,-116.773123,-75.6,0.201
36.156931,-116.772365,-75.7,0.293
36.157458,-116.771596,-75.8,0.388
36.157915,-116.770892,-75.8,0.472
36.1595,-116.768549,-75.9,0.758
36.160125,-116.767588,-76.0,0.874
36.160198,-116.767486,-76.1,0.886
36.160369,-116.767297,-76.1,0.913
36.160541,-116.767145,-76.2,0.937
36.160785,-116.766979,-76.3,0.97
36.160978,-116.766883,-76.4,0.994
36.16121,-116.766815,-76.5,1.022
36.161505,-116.766763,-76.5,1.056
36.163458,-116.766548,-76.6,1.283
36.163673,-116.76654,-76.7,1.308
36.163898,-116.766567,-76.8,1.335
36.16403,-116.766598,-76.8,1.35
36.164418,-116.766735,-76.9,1.397
36.164818,-116.766918,-77.0,1.446
36.166343,-116.767659,-77.1,1.636
36.167712,-116.768335,-77.1,1.807
36.168117,-116.7685,-77.2,1.857
36.168206,-116.768528,-77.3,1.867
36.168482,-116.768569,-77.4,1.9
36.168701,-116.768571,-77.5,1.925
36.168851,-116.768559,-77.5,1.942
36.169125,-116.768519,-77.6,1.974
36.169644,-116.768396,-77.7,2.035
36.169835,-116.768359,-77.8,2.058
36.170354,-116.76821,-77.9,2.12
36.170518,-116.768125,-77.9,2.14
36.170645,-116.768015,-78.0,2.158
36.170765,-116.767884,-78.1,2.177
36.170942,-116.76763,-78.2,2.208
36.172398,-116.764916,-78.3,2.513
36.17257,-116.764631,-78.3,2.546
36.172739,-116.764408,-78.4,2.575
36.172891,-116.76425,-78.5,2.598
36.17312,-116.764056,-78.6,2.631
36.173481,-116.763843,-78.7,2.676
36.173687,-116.76376,-78.8,2.701
36.173882,-116.763707,-78.8,2.724
36.174162,-116.763678,-78.9,2.758
36.174541,-116.763681,-79.0,2.802
36.175166,-116.763703,-79.1,2.873
36.175982,-116.763703,-79.2,2.968
36.176376,-116.763716,-79.2,3.014
36.17664,-116.763763,-79.3,3.044
36.176839,-116.76383,-79.4,3.068
36.177119,-116.763975,-79.3,3.104
36.177316,-116.764116,-79.3,3.13
