lat,lon,elevation_m,distance_km,grade_percent
36.155218,-116.774631,-75.3,0.0,0.0
36.155376,-116.774532,-75.4,0.021,-0.4761904761905168
36.155543,-116.774395,-75.5,0.044,-0.43478260869562757
36.155689,-116.774229,-75.5,0.067,0.0
36.156434,-116.773123,-75.6,0.201,-0.07462686567163755
36.156931,-116.772365,-75.7,0.293,-0.10869565217392235
36.157458,-116.771596,-75.8,0.388,-0.10526315789473083
36.157915,-116.770892,-75.8,0.472,0.0
36.1595,-116.768549,-75.9,0.758,-0.034965034965037944
36.160125,-116.767588,-76.0,0.874,-0.08620689655171924
36.160198,-116.767486,-76.1,0.886,-0.8333333333332853
36.160369,-116.767297,-76.1,0.913,0.0
36.160541,-116.767145,-76.2,0.937,-0.41666666666670177
36.160785,-116.766979,-76.3,0.97,-0.3030303030302866
36.160978,-116.766883,-76.4,0.994,-0.41666666666670177
36.16121,-116.766815,-76.5,1.022,-0.35714285714283656
36.161505,-116.766763,-76.5,1.056,0.0
36.163458,-116.766548,-76.6,1.283,-0.04405286343612087
36.163673,-116.76654,-76.7,1.308,-0.40000000000003194
36.163898,-116.766567,-76.8,1.335,-0.3703703703703505
36.16403,-116.766598,-76.8,1.35,0.0
36.164418,-116.766735,-76.9,1.397,-0.212765957446827
36.164818,-116.766918,-77.0,1.446,-0.20408163265304993
36.166343,-116.767659,-77.1,1.636,-0.05263157894736545
36.167712,-116.768335,-77.1,1.807,0.0
36.168117,-116.7685,-77.2,1.857,-0.2000000000000169
36.168206,-116.768528,-77.3,1.867,-0.9999999999999423
36.168482,-116.768569,-77.4,1.9,-0.3030303030303297
36.168701,-116.768571,-77.5,1.925,-0.3999999999999751
36.168851,-116.768559,-77.5,1.942,0.0
36.169125,-116.768519,-77.6,1.974,-0.31249999999998196
36.169644,-116.768396,-77.7,2.035,-0.16393442622952173
36.169835,-116.768359,-77.8,2.058,-0.43478260869563334
36.170354,-116.76821,-77.9,2.12,-0.1612903225806582
36.170518,-116.768125,-77.9,2.14,0.0
36.170645,-116.768015,-78.0,2.158,-0.5555555555555304
36.170765,-116.767884,-78.1,2.177,-0.5263157894736508
36.170942,-116.76763,-78.2,2.208,-0.3225806451613164
36.172398,-116.764916,-78.3,2.513,-0.03278688524589981
36.17257,-116.764631,-78.3,2.546,0.0
36.172739,-116.764408,-78.4,2.575,-0.3448275862069217
36.172891,-116.76425,-78.5,2.598,-0.43478260869563334
36.17312,-116.764056,-78.6,2.631,-0.3030303030302866
36.173481,-116.763843,-78.7,2.676,-0.22222222222223936
36.173687,-116.76376,-78.8,2.701,-0.39999999999997865
36.173882,-116.763707,-78.8,2.724,0.0
36.174162,-116.763678,-78.9,2.758,-0.2941176470588503
36.174541,-116.763681,-79.0,2.802,-0.2272727272727141
36.175166,-116.763703,-79.1,2.873,-0.14084507042252686
36.175982,-116.763703,-79.2,2.968,-0.10526315789474609
36.176376,-116.763716,-79.2,3.014,0.0
36.17664,-116.763763,-79.3,3.044,-0.3333333333333116
36.176839,-116.76383,-79.4,3.068,-0.41666666666670177
36.177119,-116.763975,-79.3,3.104,0.27777777777780127
36.177316,-116.764116,-79.3,3.13,0.0
36.177578,-116.764379,-79.2,3.17,0.24999999999998557
36.177783,-116.764671,-79.2,3.206,0.0
36.177889,-116.764862,-79.1,3.227,0.4761904761905189
36.178282,-116.765471,-79.0,3.3,0.13698630136985532
36.178794,-116.766319,-79.0,3.4,0.0
36.179859,-116.768032,-78.9,3.602,0.04950495049504671
36.180094,-116.768367,-78.8,3.643,0.24390243902441144
36.180282,-116.768578,-78.8,3.673,0.0
36.180461,-116.768731,-78.7,3.698,0.39999999999997865
36.180634,-116.768842,-78.7,3.72,0.0
36.180819,-116.76893,-78.6,3.743,0.4347826086956951
36.181081,-116.769029,-78.5,3.775,0.31249999999998196
36.181509,-116.769138,-78.5,3.826,0.0
36.182761,-116.76943,-78.4,3.973,0.06802721088434996
36.183144,-116.769536,-78.4,4.019,0.0
36.184031,-116.769742,-78.3,4.124,0.09523809523810377
36.184956,-116.769967,-78.2,4.233,0.09174311926604985
36.185176,-116.769997,-78.2,4.259,0.0
36.185406,-116.770008,-78.1,4.285,0.3846153846154204
36.18561,-116.76999,-78.0,4.309,0.41666666666664265
36.185727,-116.76997,-78.0,4.323,0.0
36.186021,-116.769875,-77.9,4.358,0.28571428571427554
36.186505,-116.769613,-77.9,4.42,0.0
36.186833,-116.769413,-77.8,4.461,0.24390243902440883
36.187753,-116.76888,-77.8,4.579,0.0
36.187945,-116.76879,-77.8,4.603,0.0
36.188158,-116.768728,-77.8,4.628,0.0
36.188364,-116.768697,-77.8,4.652,0.0
36.188552,-116.768694,-77.8,4.674,0.0
36.188808,-116.768725,-77.8,4.704,0.0
36.189062,-116.768788,-77.9,4.735,-0.32258064516131174
36.189336,-116.76891,-77.9,4.768,0.0
36.189482,-116.769,-77.9,4.787,0.0
36.18975,-116.769228,-77.9,4.824,0.0
36.190009,-116.769514,-77.9,4.865,0.0
36.190331,-116.769906,-77.9,4.917,0.0
36.190816,-116.770522,-77.9,4.997,0.0
36.191511,-116.771359,-77.9,5.11,0.0
36.191805,-116.771666,-77.9,5.155,0.0
36.191909,-116.771755,-77.9,5.169,0.0
36.192106,-116.771883,-77.9,5.195,0.0
36.192296,-116.771976,-77.9,5.218,0.0
36.192533,-116.772059,-77.9,5.247,0.0
36.192973,-116.772159,-78.0,5.3,-0.18867924528300836
36.193672,-116.772334,-78.0,5.382,0.0
36.194504,-116.772506,-78.0,5.48,0.0
36.194683,-116.77253,-78.0,5.501,0.0
36.194925,-116.772523,-78.0,5.529,0.0
36.195059,-116.772496,-78.0,5.545,0.0
36.195207,-116.772444,-78.0,5.562,0.0
36.195385,-116.772345,-77.8,5.584,0.9090909090909488
36.195458,-116.772295,-77.6,5.595,1.818181818181824
36.197403,-116.770632,-77.4,5.868,0.07326007326006895
36.198225,-116.769912,-77.2,5.985,0.17094017094017336
36.199371,-116.768937,-77.0,6.146,0.12422360248447412
36.199556,-116.768816,-76.8,6.17,0.8333333333333445
36.199721,-116.768736,-76.6,6.191,0.9523809523809702
36.199888,-116.768691,-76.4,6.211,0.9999999999999201
36.200018,-116.768681,-76.2,6.225,1.4285714285715156
36.200162,-116.768686,-76.0,6.242,1.1764705882352868
36.200304,-116.768711,-75.8,6.259,1.1764705882352868
36.200444,-116.768753,-75.6,6.276,1.1764705882353481
36.200661,-116.768857,-75.4,6.303,0.740740740740695
36.20083,-116.768984,-75.2,6.326,0.8695652173913284
36.200927,-116.769076,-75.0,6.34,1.4285714285714248
36.201064,-116.769251,-74.8,6.363,0.869565217391295
36.201376,-116.769747,-74.6,6.421,0.34482758620690246
36.201773,-116.770355,-74.4,6.494,0.2739726027397123
36.202421,-116.771371,-74.2,6.616,0.16393442622951065
36.202932,-116.77219,-74.0,6.712,0.20833333333333612
36.203296,-116.772694,-73.8,6.776,0.31250000000000416
36.203413,-116.772845,-73.6,6.796,0.9999999999999911
36.203675,-116.773131,-73.4,6.836,0.49999999999997113
36.203888,-116.773333,-73.2,6.868,0.6250000000000083
36.204208,-116.773612,-73.0,6.913,0.44444444444445147
36.205138,-116.774397,-72.8,7.043,0.15384615384615616
36.206101,-116.775219,-73.3,7.178,-0.370370370370371
36.206782,-116.77581,-73.7,7.275,-0.41237113402062264
36.207383,-116.776302,-74.2,7.359,-0.5952380952380979
36.207467,-116.776357,-74.7,7.369,-5.000000000000107
36.207633,-116.776432,-75.1,7.39,-1.9047619047618727
36.207765,-116.776472,-75.6,7.406,-3.1249999999999973
36.2079,-116.776495,-76.1,7.421,-3.333333333333207
36.208036,-116.776501,-76.5,7.437,-2.5000000000000333
36.208172,-116.776489,-77.0,7.453,-3.1249999999999973
36.208426,-116.776425,-77.5,7.483,-1.666666666666702
36.208903,-116.776229,-77.9,7.541,-0.6896551724137944
36.211545,-116.775211,-78.4,7.862,-0.15576323987538956
36.211812,-116.775069,-78.8,7.896,-1.1764705882352757
36.212005,-116.774927,-79.3,7.922,-1.9230769230769378
36.212136,-116.774803,-79.8,7.941,-2.631578947368403
36.212308,-116.774616,-80.2,7.968,-1.4814814814814952
36.212522,-116.774348,-80.7,8.003,-1.4285714285714228
36.21302,-116.773644,-81.2,8.091,-0.5681818181818235
36.213164,-116.773466,-81.6,8.114,-1.739130434782461
36.213307,-116.773333,-82.1,8.134,-2.5000000000000533
36.213435,-116.773259,-82.6,8.151,-2.9411764705883288
36.213629,-116.773191,-83.0,8.174,-1.7391304347826568
36.2138,-116.773158,-83.5,8.195,-2.380952380952291
36.213978,-116.773164,-84.0,8.215,-2.5000000000000533
36.215192,-116.773325,-84.4,8.357,-0.2816901408450755
36.216413,-116.773433,-84.9,8.498,-0.3546099290780142
36.217702,-116.773457,-84.7,8.648,0.13333333333333494
36.219724,-116.773474,-84.5,8.882,0.08547008547008668
36.220044,-116.773498,-84.3,8.92,0.5263157894736882
36.220226,-116.773563,-84.2,8.941,0.47619047619043103
36.22037,-116.773638,-84.0,8.96,1.0526315789473764
36.220549,-116.77377,-83.8,8.984,0.8333333333333753
36.220705,-116.773934,-83.6,9.007,0.8695652173913284
36.220847,-116.774169,-83.4,9.035,0.7142857142856617
36.220907,-116.774302,-83.2,9.049,1.4285714285715156
36.221204,-116.775087,-83.1,9.13,0.12345679012346536
36.221478,-116.775828,-82.9,9.206,0.26315789473683154
36.221571,-116.776055,-82.7,9.23,0.8333333333333135
36.221669,-116.776237,-82.5,9.251,0.9523809523810104
36.221844,-116.776499,-82.3,9.282,0.6451612903225777
36.221967,-116.776647,-82.1,9.302,1.0000000000000355
36.222065,-116.77675,-81.9,9.318,1.2499999999999278
36.222216,-116.776879,-81.8,9.339,0.4761904761904988
36.222472,-116.777049,-81.6,9.372,0.6060606060606244
36.223299,-116.777507,-81.4,9.477,0.19047619047617886
36.223476,-116.777595,-81.2,9.499,0.909090909090912
36.223627,-116.777655,-81.0,9.518,1.0526315789473764
36.223824,-116.777712,-80.8,9.541,0.8695652173913284
36.224019,-116.777732,-80.7,9.564,0.43478260869563334
36.224263,-116.777728,-80.5,9.592,0.7142857142857124
36.224453,-116.777692,-80.3,9.615,0.8695652173913284
36.224601,-116.777654,-80.1,9.632,1.1764705882353481
36.224733,-116.777603,-80.1,9.648,0.0
36.225704,-116.777085,-80.2,9.77,-0.08196721311476117
36.226122,-116.776857,-80.2,9.824,0.0
36.226418,-116.776678,-80.2,9.862,0.0
36.226521,-116.776602,-80.3,9.876,-0.7142857142857071
36.226719,-116.77645,-80.3,9.903,0.0
36.226946,-116.77625,-80.3,9.935,0.0
36.227123,-116.776066,-80.3,9.962,0.0
36.227328,-116.775822,-80.4,9.995,-0.3030303030303337
36.22784,-116.775122,-80.4,10.083,0.0
36.228474,-116.77424,-80.4,10.194,0.0
36.22874,-116.773859,-80.5,10.241,-0.21276595744680174
36.228911,-116.773603,-80.5,10.272,0.0
36.228994,-116.773454,-80.5,10.289,0.0
36.229045,-116.773344,-80.6,10.301,-0.8333333333332544
36.229108,-116.77318,-80.6,10.318,0.0
36.229158,-116.773038,-80.6,10.332,0.0
36.229234,-116.772756,-80.7,10.359,-0.37037037037041226
36.229267,-116.772602,-80.7,10.375,0.0
36.229289,-116.772449,-80.7,10.39,0.0
36.229301,-116.772335,-80.7,10.4,0.0
36.229313,-116.772205,-80.8,10.413,-0.7692307692307314
36.229314,-116.771933,-80.8,10.438,0.0
36.229299,-116.771658,-80.8,10.464,0.0
36.229276,-116.771474,-80.9,10.481,-0.5882352941177159
36.229245,-116.771309,-80.9,10.497,0.0
36.229202,-116.771115,-80.7,10.516,1.0526315789473764
36.228878,-116.770112,-80.6,10.617,0.0990099009901066
36.228497,-116.768913,-80.4,10.737,0.16666666666665828
36.228466,-116.768712,-80.3,10.757,0.5000000000000533
36.228463,-116.768524,-80.1,10.774,1.1764705882353481
36.228488,-116.768342,-80.0,10.791,0.5882352941175708
36.228527,-116.768231,-79.8,10.803,1.666666666666627
36.228568,-116.768124,-79.7,10.814,0.9090909090909208
36.228678,-116.767947,-79.5,10.835,0.9523809523809298
36.228818,-116.767791,-79.4,10.857,0.4545454545454604
36.229239,-116.76744,-79.2,10.915,0.34482758620690246
36.230348,-116.766504,-79.1,11.07,0.0645161290322631
36.230605,-116.7663,-78.9,11.106,0.5555555555555304
36.230784,-116.766188,-78.7,11.129,0.8695652173913284
36.23094,-116.766099,-78.6,11.149,0.5000000000000533
36.231191,-116.766,-78.4,11.18,0.6451612903225318
36.231436,-116.765952,-78.3,11.208,0.35714285714288163
36.231628,-116.765933,-78.1,11.231,0.8695652173913284
